%time,field.x,field.y,field.z
1504375998770674976,-7.75370311737,6.48676872253,-1.73835253716
1504375998927179872,-7.77748250961,6.48565816879,-1.74098062515
1504375999090644299,-7.80448293686,6.48300552368,-1.73997426033
1504375999229746227,-7.82789993286,6.48165225983,-1.74415612221
1504375999368427112,-7.86634588242,6.48250961304,-1.741127491
1504375999555764456,-7.9030790329,6.49094772339,-1.73921990395
1504375999700435758,-7.93703603745,6.49593114853,-1.73470425606
1504375999835380029,-7.9657959938,6.49647712708,-1.72223746777
1504376000018822373,-7.99164390564,6.49645805359,-1.71719872952
1504376000170455550,-8.0225019455,6.49621772766,-1.70918166637
1504376000303773988,-8.04722595215,6.49236345291,-1.70110738277
1504376000486985134,-8.06746292114,6.48668766022,-1.69803392887
1504376000635064874,-8.08631420135,6.4803276062,-1.69187581539
1504376000772862426,-8.11011791229,6.47602844238,-1.68907928467
1504376000946514405,-8.13104915619,6.47458982468,-1.68357598782
1504376001095777999,-8.14999675751,6.47289562225,-1.68495762348
1504376001235079874,-8.16747283936,6.4684214592,-1.69207942486
1504376001424661124,-8.19087696075,6.45761346817,-1.69940924644
1504376001563711541,-8.20620346069,6.44778490067,-1.70089375973
1504376001709813051,-8.22365283966,6.44043016434,-1.7032763958
1504376001880461541,-8.24224662781,6.43598508835,-1.70838809013
1504376002031212218,-8.26239967346,6.43201351166,-1.71077120304
1504376002170776281,-8.29200744629,6.4342956543,-1.70884096622
1504376002346294354,-8.31611537933,6.43711709976,-1.70788025856
1504376002480260135,-8.33671283722,6.43875789642,-1.7079436779
1504376002630836333,-8.35512638092,6.43950557709,-1.709679842
1504376002804505552,-8.37069511414,6.44083023071,-1.7123541832
1504376002937765396,-8.38156700134,6.43877220154,-1.71627318859
1504376003093248990,-8.39423942566,6.43337059021,-1.72053742409
1504376003268712740,-8.40724372864,6.42690658569,-1.72250187397
1504376003403715761,-8.41098594666,6.4178686142,-1.72203552723
1504376003565995397,-8.41345787048,6.41150140762,-1.72448253632
1504376003720544668,-8.41917133331,6.40307760239,-1.71837258339
1504376003862185918,-8.42539405823,6.39277219772,-1.72004210949
1504376004016878834,-8.42906570435,6.38106584549,-1.71833121777
1504376004193521283,-8.43831634521,6.37631750107,-1.71838665009
1504376004336831543,-8.44817352295,6.37280511856,-1.72266364098
1504376004486975762,-8.45767211914,6.36963796616,-1.72190773487
1504376004652661231,-8.46419715881,6.36738014221,-1.71965837479
1504376004806382325,-8.45985603333,6.36694002151,-1.71783339977
1504376004947503523,-8.45369148254,6.37099266052,-1.72168338299
1504376005123380762,-8.44166278839,6.36993169785,-1.72515809536
1504376005270381127,-8.42818927765,6.36548376083,-1.7286863327
1504376005406538940,-8.41662979126,6.36078166962,-1.73228645325
1504376005583753992,-8.40762996674,6.36132955551,-1.73453474045
1504376005731351909,-8.40377044678,6.36352348328,-1.73238742352
1504376005883253419,-8.40717220306,6.36722612381,-1.72494876385
1504376006053002117,-8.41553592682,6.3714838028,-1.71952676773
1504376006192146024,-8.42137527466,6.37317276001,-1.71853637695
1504376006348738888,-8.42661857605,6.37457847595,-1.71114325523
1504376006510020607,-8.42969036102,6.37696266174,-1.71037697792
1504376006653083107,-8.4330406189,6.38079214096,-1.70786619186
1504376006985665868,-8.43859195709,6.3833694458,-1.69266557693
1504376007117485347,-8.43351840973,6.38149166107,-1.69140613079
1504376007472150712,-8.4089717865,6.37321043015,-1.69341182709
1504376007651031181,-8.39465427399,6.37107419968,-1.69381988049
1504376007805758317,-8.39353466034,6.37946224213,-1.69345915318
1504376007952141285,-8.3839597702,6.38349437714,-1.68968617916
1504376008141557483,-8.36974430084,6.38193655014,-1.67382931709
1504376008455362327,-8.35726833344,6.38148021698,-1.64879703522
1504376008618824828,-8.35773468018,6.38486766815,-1.63467466831
1504376008796102328,-8.369805336,6.39483880997,-1.62177097797
1504376008913096651,-8.38069534302,6.4022397995,-1.60632836819
1504376009082556338,-8.38881206512,6.40721702576,-1.59053015709
1504376009250837380,-8.39002609253,6.40979719162,-1.58045518398
1504376009387703057,-8.38996219635,6.41716718674,-1.5863648653
1504376009546399672,-8.38479328156,6.41864538193,-1.59439122677
1504376009727186912,-8.37642383575,6.4158115387,-1.59517407417
1504376009863244776,-8.36773109436,6.41157913208,-1.59009289742
1504376010021218370,-8.36420917511,6.4124751091,-1.59641826153
1504376010208614464,-8.35666751862,6.41138410568,-1.60099828243
1504376010335334777,-8.34912967682,6.40897417068,-1.59821474552
1504376010494302954,-8.34021377563,6.40781259537,-1.58602309227
1504376010665273631,-8.32843017578,6.40957784653,-1.57602143288
1504376010793412329,-8.31458568573,6.41154623032,-1.56877553463
1504376010951853892,-8.3009519577,6.42100095749,-1.56629061699
1504376011131059621,-8.29038238525,6.43017244339,-1.5662252903
1504376011259888632,-8.28064727783,6.43652486801,-1.55594110489
1504376011415162382,-8.26945590973,6.43933820724,-1.5537674427
1504376011608938319,-8.25694942474,6.44282007217,-1.55318462849
1504376011725661132,-8.25597572327,6.45161533356,-1.55686712265
1504376011888516965,-8.26132202148,6.46450281143,-1.56039297581
1504376012197327695,-8.25783920288,6.48611211777,-1.56554210186
1504376012355697643,-8.24977493286,6.48957586288,-1.55722022057
1504376012524824518,-8.24167060852,6.49682378769,-1.55737233162
1504376012656187174,-8.23194694519,6.50673055649,-1.55945658684
1504376012810566966,-8.22067928314,6.51607131958,-1.56201303005
1504376012978703216,-8.20811462402,6.52932977676,-1.56844067574
1504376013160333685,-8.19557952881,6.54448127747,-1.57676970959
1504376013470118217,-8.1867980957,6.5614066124,-1.5777951479
1504376013625971394,-8.1800699234,6.57115888596,-1.57438290119
1504376013946241030,-8.14631557465,6.57368993759,-1.57962024212
1504376014095412280,-8.12775039673,6.57494211197,-1.58472406864
1504376014427598009,-8.09660243988,6.58333444595,-1.5844476223
1504376014566790457,-8.09257030487,6.59385347366,-1.58316171169
1504376014762470041,-8.0951423645,6.60358428955,-1.57764923573
1504376014884140093,-8.09697628021,6.61144399643,-1.56526494026
1504376015031705041,-8.0965719223,6.6186003685,-1.55420660973
1504376015347223947,-8.07287883759,6.64238977432,-1.53939163685
1504376015496546187,-8.06003189087,6.65345239639,-1.53821587563
1504376015688747333,-8.04650020599,6.66097640991,-1.53865516186
1504376015809062021,-8.03203296661,6.66892147064,-1.53725790977
1504376015959093375,-8.01264667511,6.67425537109,-1.53263676167
1504376016142726865,-7.99131679535,6.67834281921,-1.53314828873
1504376016282596135,-7.971534729,6.68062448502,-1.53502094746
1504376016422829209,-7.95549058914,6.67290258408,-1.53348612785
1504376016603796552,-7.93679189682,6.66586303711,-1.53131496906
1504376016738471188,-7.9260725975,6.66215133667,-1.52643477917
1504376016913682855,-7.92321968079,6.66283845901,-1.52643048763
1504376017069003428,-7.92413425446,6.66597366333,-1.52591955662
1504376017200316657,-7.9219045639,6.66712808609,-1.52195906639
1504376017376283168,-7.916847229,6.66664600372,-1.51893568039
1504376017539868897,-7.91383552551,6.66703462601,-1.51125574112
1504376017670870459,-7.90964174271,6.66902589798,-1.50258624554
1504376017823370199,-7.89700460434,6.67261981964,-1.49573886395
1504376017995550824,-7.88890314102,6.67764377594,-1.49412083626
1504376018136601293,-7.88270139694,6.68342018127,-1.48992788792
1504376018290719002,-7.87885332108,6.68591022491,-1.49115002155
1504376018457061658,-7.87567043304,6.68315076828,-1.48946297169
1504376018604643273,-7.86001062393,6.67479085922,-1.49086558819
1504376018753001658,-7.84167098999,6.66937494278,-1.48888611794
1504376018923632179,-7.8347992897,6.67511844635,-1.49120390415
1504376019075226606,-7.83480405807,6.68865919113,-1.49241685867
1504376019213717961,-7.82982969284,6.69910049438,-1.49434196949
1504376019388300252,-7.83643531799,6.71242761612,-1.48691487312
1504376019542041086,-7.84292602539,6.72286510468,-1.47645223141
1504376019682684680,-7.84881877899,6.73229646683,-1.47596716881
1504376019846509107,-7.85654973984,6.74355745316,-1.4756398201
1504376020008565461,-7.85321474075,6.7580704689,-1.48097634315
1504376020148824003,-7.84863948822,6.768658638,-1.48781478405
1504376020307652649,-7.84165382385,6.77659368515,-1.4945898056
1504376020468426399,-7.83105039597,6.7842874527,-1.49859881401
1504376020622362076,-7.81877660751,6.79652547836,-1.49913728237
1504376020775185462,-7.80893373489,6.80932855606,-1.49837219715
1504376020929108847,-7.80492591858,6.82434034348,-1.50000548363
1504376021088479837,-7.80222034454,6.83914899826,-1.50693023205
1504376021234396400,-7.79408454895,6.84907007217,-1.50875139236
1504376021399803639,-7.78876686096,6.85713624954,-1.51055693626
1504376021550263639,-7.78368711472,6.86688375473,-1.50759983063
1504376021718796400,-7.77646207809,6.8797416687,-1.50155770779
1504376021853842702,-7.77049064636,6.89345550537,-1.50438070297
1504376022007839942,-7.76921224594,6.90651750565,-1.51132524014
1504376022164759265,-7.77579307556,6.91225242615,-1.51934814453
1504376022323425671,-7.78946638107,6.91816234589,-1.52032208443
1504376022475202390,-7.80310630798,6.92609882355,-1.51977407932
1504376022634665776,-7.81298589706,6.93515920639,-1.51800072193
1504376022779723588,-7.82253265381,6.94813632965,-1.51831591129
1504376022940100099,-7.83568429947,6.96343660355,-1.51587915421
1504376023101384839,-7.85174942017,6.981112957,-1.51148545742
1504376023244953172,-7.86912155151,6.99943113327,-1.51835262775
1504376023405994630,-7.8861618042,7.01421689987,-1.51784133911
1504376023564842704,-7.8933057785,7.02842092514,-1.51680541039
1504376023705920881,-7.89827442169,7.04233789444,-1.51620006561
1504376023868127964,-7.89925479889,7.05267906189,-1.51300978661
1504376024038757652,-7.89201307297,7.05405044556,-1.50068318844
1504376024172018485,-7.88671207428,7.06041765213,-1.49149286747
1504376024331136558,-7.88950681686,7.0704498291,-1.48197746277
1504376024497035308,-7.89582204819,7.08241415024,-1.47712671757
1504376024635263694,-7.9004740715,7.095307827,-1.48132348061
1504376024793949423,-7.90198278427,7.10677480698,-1.4897094965
1504376024970743486,-7.90977144241,7.12178993225,-1.49370777607
1504376025096507548,-7.9199590683,7.13467550278,-1.49715638161
1504376025268851038,-7.93023824692,7.14486694336,-1.49800109863
1504376025434146611,-7.93690538406,7.15271377563,-1.49819588661
1504376025569843122,-7.93160057068,7.16415596008,-1.49224627018
1504376025736719632,-7.91869449615,7.16922521591,-1.48458468914
1504376025898976299,-7.90801811218,7.17322683334,-1.47953689098
1504376026028118643,-7.90004587173,7.17802858353,-1.47113084793
1504376026197299476,-7.89003801346,7.17917966843,-1.46759700775
1504376026352208904,-7.88390398026,7.18036699295,-1.46773803234
1504376026489093122,-7.87658071518,7.17864322662,-1.46827399731
1504376026683780623,-7.86902570724,7.17491960526,-1.4740203619
1504376026821679685,-7.87502861023,7.17436933517,-1.48202335835
1504376026966879737,-7.88224506378,7.173828125,-1.48858654499
1504376027288950571,-7.88621044159,7.18398714066,-1.51249361038
1504376027426356561,-7.88422250748,7.19021844864,-1.51975035667
1504376027626534009,-7.89553308487,7.19533872604,-1.52318429947
1504376027745960155,-7.90587377548,7.19846248627,-1.52270781994
1504376027889930467,-7.91039085388,7.19393348694,-1.52518165112
1504376028083905884,-7.91161346436,7.18524837494,-1.52566444874
1504376028208448384,-7.91217184067,7.17491149902,-1.52925789356
1504376028350895936,-7.91528320312,7.16727733612,-1.52858269215
1504376028679294582,-7.92528676987,7.16441488266,-1.52456355095
1504376028813247968,-7.92518424988,7.16682195663,-1.51822090149
1504376029001004062,-7.91507339478,7.16764068604,-1.51216554642
1504376029135659531,-7.90626955032,7.16756296158,-1.51295912266
1504376029289660885,-7.90236091614,7.16997146606,-1.5157636404
1504376029460206979,-7.90457296371,7.17468309402,-1.5226610899
1504376029600086666,-7.90023851395,7.17513656616,-1.52169978619
1504376029738634583,-7.90062046051,7.18114089966,-1.51528525352
1504376029919046250,-7.90005350113,7.18666887283,-1.50558269024
1504376030066599271,-7.89698600769,7.19050598145,-1.49785065651
1504376030201313750,-7.88579845428,7.19189882278,-1.49387586117
1504376030387494740,-7.8796954155,7.19336128235,-1.48602676392
1504376030512523594,-7.87725973129,7.19495010376,-1.4809525013
1504376030662674063,-7.86951398849,7.19489049911,-1.47229552269
1504376030850846980,-7.85471820831,7.19280672073,-1.46799993515
1504376030993280990,-7.8307056427,7.19202804565,-1.4623913765
1504376031131169793,-7.81237268448,7.19453573227,-1.46358263493
1504376031307855887,-7.79786968231,7.19569301605,-1.45840680599
1504376031437765366,-7.78680372238,7.19480705261,-1.45742702484
1504376031591519376,-7.78225231171,7.19017696381,-1.45346605778
1504376031904456720,-7.76965522766,7.1802239418,-1.43939983845
1504376032051843231,-7.76673173904,7.17844486237,-1.43597853184
1504376032244910002,-7.77492237091,7.18260478973,-1.43208265305
1504376032363414012,-7.7860455513,7.18532943726,-1.43128883839
1504376032512480783,-7.80699110031,7.19283676147,-1.43033444881
1504376032705661877,-7.83468914032,7.20243692398,-1.42281675339
1504376032822771409,-7.8659734726,7.21178531647,-1.41644620895
1504376032986703388,-7.8904671669,7.2167673111,-1.41200447083
1504376033171500836,-7.90371704102,7.21966695786,-1.40624809265
