0;0;258.693;-0.0123098
0;0;448.952;-0.0252053
0;0;564.708;-0.0388863
0;0;636.863;-0.0534756
0;0;688.34;-0.0689728
0;0;730.558;-0.0853777
0;0;768.341;-0.10269
0;0;803.914;-0.121095
0;0;837.264;-0.14023
0;0;868.975;-0.16027
0;0;899.102;-0.181215
0;0;927.646;-0.203065
0;0;954.863;-0.22605
0;0;980.211;-0.249716
0;0;1003.98;-0.274282
0;0;1026.19;-0.29975
-6.12323e-17;-1;1047.3;-0.326116
0;0;1066.4;-0.329264
0;0;1084.89;-0.315707
1;4;1101.84;-0.120283
1;11;1115.46;0.041392
2;20;1126.79;0.175151
4;33;1136.42;0.226419
6;48;1145.21;0.215946
8;67;1152.7;0.168353
10;88;1159.24;0.118998
13;113;1164.38;0.0538243
16;140;1168.68;-0.0129916
19;170;1172.07;-0.0817642
22;204;1174.24;-0.142797
25;241;1175.75;-0.178105
29;280;1176.78;-0.192524
33;322;1177.21;-0.199091
37;367;1177.26;-0.180131
42;415;1176.58;-0.140057
48;466;1175.18;-0.0793911
55;520;1172.89;-0.0163626
63;577;1169.7;0.0398751
73;636;1165.74;0.0754151
83;699;1160.97;0.0818584
93;764;1155.54;0.078306
105;832;1149.03;0.0632579
116;903;1141.7;0.0339898
128;977;1133.16;0.00715639
139;1052;1124.07;-0.0247122
150;1125;1115.2;-0.0575236
161;1199;1105.53;-0.0825353
172;1274;1095.12;-0.100427
183;1348;1084.58;-0.111007
195;1422;1073.51;-0.102602
206;1496;1062.13;-0.0836152
218;1570;1050.26;-0.0633665
231;1644;1037.54;-0.0410495
245;1718;1024.11;-0.025065
259;1791;1010.5;-0.0109499
273;1865;995.893;-0.00716993
287;1938;981.309;-0.0130868
302;2012;965.318;-0.0244858
317;2085;949.156;-0.0299155
332;2158;932.359;-0.0373874
347;2232;914.383;-0.0545028
362;2305;896.232;-0.0729641
378;2379;876.966;-0.076992
394;2452;857.295;-0.0891207
410;2525;836.958;-0.0970999
426;2598;815.993;-0.0951954
444;2671;793.976;-0.0888948
461;2744;771.724;-0.0903248
479;2816;748.998;-0.0901664
498;2889;724.769;-0.0905446
518;2961;700.388;-0.0844541
537;3032;676.285;-0.0904442
557;3101;652.829;-0.0941529
577;3167;631.332;-0.0984938
596;3231;610.819;-0.107318
615;3292;592.484;-0.111602
634;3352;574.266;-0.121908
653;3409;559.84;-0.129126
672;3464;544.906;-0.130424
690;3517;531.522;-0.13581
709;3569;518.738;-0.139196
728;3619;507.006;-0.1383
747;3668;495.86;-0.138731
767;3715;485.735;-0.135165
786;3761;476.802;-0.136607
806;3806;467.89;-0.131394
825;3850;459.858;-0.134285
845;3892;452.813;-0.132521
865;3934;445.972;-0.129869
886;3974;440.621;-0.126327
906;4014;434.907;-0.127969
927;4053;429.111;-0.126108
948;4092;423.188;-0.126407
969;4129;418.5;-0.128145
990;4166;413.728;-0.128682
1011;4202;409.53;-0.129233
1033;4237;405.728;-0.129651
1055;4272;401.552;-0.128694
1077;4306;397.891;-0.130648
1099;4340;394.155;-0.131507
1121;4373;390.892;-0.138118
1143;4406;387.607;-0.140639
1166;4438;384.735;-0.13685
1189;4469;382.076;-0.13541
1212;4500;379.348;-0.132993
1235;4530;377.114;-0.133011
1259;4560;374.324;-0.128941
1282;4589;372.833;-0.127677
1306;4618;370.426;-0.127885
1331;4646;367.974;-0.127242
1355;4674;365.986;-0.128733
1379;4701;364.513;-0.129477
1404;4728;362.645;-0.132188
1429;4755;360.465;-0.13385
1454;4781;358.788;-0.134719
1479;4807;357.039;-0.137536
1505;4832;355.261;-0.133938
1531;4857;353.367;-0.135067
1557;4881;352.263;-0.132802
1583;4905;350.83;-0.132286
1609;4928;349.836;-0.133444
1635;4951;348.831;-0.133853
1662;4974;347.135;-0.136329
1689;4996;345.947;-0.135082
1716;5018;344.982;-0.136071
1771;5060;316.8;-0.115011
1771;5060;343.004;-0.137714
1827;5100;315.07;-0.115569
1855;5120;314.32;-0.117757
1882;5138;314.82;-0.119729
1909;5156;315.269;-0.125944
1935;5173;316.817;-0.13278
1962;5189;318.411;-0.133636
1989;5206;319.279;-0.141868
2016;5222;320.657;-0.143556
2043;5238;322.007;-0.149446
2071;5254;322.779;-0.150203
2100;5269;323.165;-0.152335
2128;5284;324.637;-0.153468
2157;5299;325.179;-0.154341
2186;5313;326.071;-0.15598
2216;5327;326.331;-0.155267
2245;5340;327.699;-0.154436
2275;5353;328.388;-0.1538
2305;5365;329.707;-0.151564
2336;5377;330.075;-0.149444
2367;5389;330.51;-0.149236
2398;5400;331.339;-0.144619
2429;5411;332.201;-0.144384
2460;5421;333.356;-0.144731
2492;5431;334.103;-0.145956
2524;5441;334.678;-0.148837
2556;5449;335.787;-0.145887
2588;5458;336.779;-0.148609
2621;5466;337.259;-0.150904
2653;5474;338.947;-0.15364
2686;5481;339.925;-0.150526
2720;5488;340.235;-0.148431
2752;5495;342.201;-0.152299
2786;5501;342.923;-0.149916
2820;5506;343.904;-0.145407
2854;5511;345.253;-0.145558
2888;5515;346.566;-0.143276
2922;5519;348.017;-0.142722
2956;5523;349.666;-0.141188
2991;5526;350.707;-0.139688
3026;5529;351.907;-0.139929
3061;5531;353.613;-0.138119
3096;5532;355.186;-0.136485
3131;5534;356.935;-0.137771
3167;5534;358.098;-0.13262
