%time,field.x,field.y,field.z
1504376407402421382,-7.46413326263,5.73716497421,3.38992834091
1504376407561599976,-7.26312828064,5.55464315414,3.44449067116
1504376407704777684,-7.0651922226,5.34796905518,3.50492572784
1504376407873206695,-6.86525774002,5.11347675323,3.56210756302
1504376408034424976,-6.6641125679,4.8571190834,3.61727666855
1504376408163510549,-6.48057985306,4.59751701355,3.66907382011
1504376408333500341,-6.31129741669,4.35569763184,3.7287812233
1504376408481912528,-6.15846586227,4.13857746124,3.80764770508
1504376408633493622,-6.03645849228,3.95688772202,3.87491703033
1504376408810662529,-5.92471313477,3.80285620689,3.9324965477
1504376408946208883,-5.82339668274,3.66247296333,3.98522830009
1504376409110626644,-5.74021816254,3.54518556595,4.03095817566
1504376409272398362,-5.68079519272,3.46474957466,4.07631874084
1504376409430279196,-5.63844347,3.41372847557,4.12284564972
1504376409574450915,-5.61461830139,3.37892580032,4.17336416245
1504376409733263363,-5.60735464096,3.36357235909,4.21419429779
1504376409907040394,-5.61205816269,3.36143875122,4.24843025208
1504376410031435446,-5.62085962296,3.36146736145,4.28551530838
1504376410203271801,-5.63238430023,3.36483407021,4.31964874268
1504376410338258155,-5.65158939362,3.37665510178,4.35230350494
1504376410496031957,-5.67145299911,3.39531111717,4.38548469543
1504376410663855759,-5.68484067917,3.41745638847,4.4225525856
1504376410812099353,-5.68843507767,3.43245840073,4.45832872391
1504376410960112062,-5.68564462662,3.45123362541,4.48475933075
1504376411129587583,-5.68233108521,3.47085833549,4.51549053192
1504376411302270395,-5.6793923378,3.48926997185,4.5463104248
1504376411430654249,-5.67550468445,3.51052689552,4.57603597641
1504376411595502114,-5.67729997635,3.53835272789,4.60422372818
1504376411760323052,-5.67919111252,3.56488704681,4.62675762177
1504376411898929771,-5.68951177597,3.58735466003,4.64699888229
1504376412056754562,-5.70853900909,3.6061103344,4.66010427475
1504376412206097375,-5.73132228851,3.62212061882,4.6750421524
1504376412361550865,-5.75076818466,3.63424658775,4.68970346451
1504376412526294407,-5.76305007935,3.64301800728,4.7093873024
1504376412680966438,-5.76893949509,3.64624929428,4.72903680801
1504376412831813730,-5.76997041702,3.64047408104,4.74375152588
1504376413014069615,-5.76495552063,3.62844491005,4.76443767548
1504376413144673001,-5.75980138779,3.62241029739,4.78097629547
1504376413301973938,-5.75631189346,3.6191868782,4.79796600342
1504376413619493262,-5.74630403519,3.60807061195,4.82337713242
1504376413778905657,-5.74663496017,3.61263585091,4.82949304581
1504376414077228626,-5.70168685913,3.6290678978,4.8443813324
1504376414235235345,-5.637550354,3.62822771072,4.85141420364
1504376414547081127,-5.4366850853,3.58553290367,4.8669128418
1504376414701327221,-5.32055139542,3.5493721962,4.87392044067
1504376414905562690,-5.19600105286,3.50639104843,4.88002824783
1504376415012569096,-5.08941173553,3.47875094414,4.88027667999
1504376415172265190,-5.00313425064,3.46206736565,4.87745809555
1504376415483858523,-4.91493177414,3.45700621605,4.87871742249
1504376415630876596,-4.90881633759,3.45833897591,4.87131357193
1504376415829793680,-4.92163228989,3.462246418,4.85734653473
1504376415938613732,-4.94237327576,3.46605610847,4.83996248245
1504376416108631284,-4.96653842926,3.46404767036,4.82115077972
1504376416277800034,-4.99344396591,3.45182538033,4.80906248093
1504376416399093524,-5.02929401398,3.45081400871,4.78950166702
1504376416575103368,-5.06286764145,3.45119953156,4.76373291016
1504376416742924722,-5.09142637253,3.45384097099,4.73564481735
1504376416867108785,-5.11284589767,3.45885944366,4.70705127716
1504376417027916962,-5.12225627899,3.46235775948,4.67481279373
1504376417201439566,-5.1299071312,3.46585726738,4.63923740387
1504376417332675348,-5.13248872757,3.46913504601,4.60585403442
1504376417485310139,-5.1355047226,3.47428393364,4.58035135269
1504376417661728421,-5.14689302444,3.48128223419,4.5568614006
1504376417820481546,-5.16192722321,3.47889733315,4.51772117615
1504376417950367536,-5.16759538651,3.46836447716,4.48231983185
1504376418125239984,-5.16689729691,3.45649623871,4.44521188736
1504376418277214046,-5.15857362747,3.4460670948,4.40882396698
1504376418429564359,-5.14678144455,3.44030165672,4.38438510895
1504376418752742484,-5.13473749161,3.4397726059,4.32121229172
1504376418921012953,-5.12374591827,3.44681358337,4.27394104004
1504376419227935870,-5.07062578201,3.45371460915,4.17122030258
1504376419395960506,-5.0274271965,3.42832684517,4.11935138702
1504376419525472016,-4.97352600098,3.38042378426,4.06347799301
1504376419687193422,-4.91521883011,3.32005786896,4.00183343887
1504376419825267173,-4.85311698914,3.24703454971,3.9315507412
1504376419999693423,-4.78386878967,3.16729021072,3.85841321945
1504376420162272902,-4.71330738068,3.08245420456,3.7925453186
1504376420297349777,-4.64071798325,2.99080991745,3.72743868828
1504376420460115350,-4.57229757309,2.90033125877,3.66181921959
1504376420623930298,-4.49880981445,2.80650401115,3.59441375732
1504376420753440767,-4.42847204208,2.72204470634,3.52486205101
1504376420925055975,-4.36225223541,2.63268470764,3.45783257484
1504376421089851184,-4.30554914474,2.54497504234,3.39333844185
1504376421223643997,-4.25401687622,2.45929074287,3.32542586327
1504376421390349049,-4.2209944725,2.39796352386,3.2684276104
1504376421553230611,-4.20846271515,2.36387825012,3.2256166935
1504376421684765403,-4.21544122696,2.35582327843,3.18568730354
1504376421843769726,-4.23169136047,2.35968637466,3.14576220512
1504376421998742070,-4.26639795303,2.37538957596,3.10670375824
1504376422149581393,-4.29136514664,2.39253902435,3.06368517876
1504376422311150456,-4.31093883514,2.41024684906,3.0192990303
1504376422459889622,-4.32438087463,2.42847037315,2.97125887871
1504376422613854362,-4.33629894257,2.44438529015,2.93699812889
1504376422770158060,-4.34031295776,2.45767378807,2.91756796837
1504376422927734050,-4.34141349792,2.47507095337,2.90526437759
1504376423074995977,-4.3425655365,2.49672698975,2.90225934982
1504376423244566238,-4.34538650513,2.52016115189,2.91060352325
1504376423400447071,-4.35065317154,2.54333639145,2.92033648491
1504376423540275300,-4.35330486298,2.56228256226,2.9251127243
1504376423708062332,-4.35114574432,2.57660770416,2.92792201042
1504376423857165301,-4.34609794617,2.58618116379,2.92799448967
1504376424015424832,-4.35556268692,2.59631323814,2.9332652092
1504376424159031603,-4.35896539688,2.60511779785,2.93555259705
1504376424329135926,-4.36100244522,2.60886001587,2.94098043442
1504376424475182228,-4.36457967758,2.60600614548,2.94537878036
